state_name,fips,FedCattle,Price,Markdown,MarkdownSpatial,MarkdownMulti,MarkdownContract,CapEffect
KENTUCKY,21107,33,138.420102794793,3.39733351621532,1.65400768214015,0.183191612113137,1.56013422196202,1.50929555674071
KENTUCKY,21109,248,138.626373196536,3.47924383584438,1.79797078225679,0.286838281068253,1.39443477251933,1.31280642870404
KENTUCKY,21113,249,138.693545795199,3.60240507958986,1.81194424610698,0.279274525927069,1.51118630755581,1.27205657728126
KENTUCKY,21117,169.0714286,139.441006869761,3.853472756199,1.93653735074394,0.340489396812657,1.5764460086424,1.1077842379819
KENTUCKY,21121,169.0714286,138.577199676951,3.28776955086676,1.75919984778116,0.252064166153883,1.27650553693172,1.47364117301944
KENTUCKY,21123,525,138.502860505512,3.49902195232428,1.74086386171079,0.208508690669896,1.5496493999436,1.41589944941233
KENTUCKY,21125,127,138.560760869198,3.3746567912061,1.77132611624252,0.260946071146915,1.34238460381666,1.40499230450273
KENTUCKY,21129,169.0714286,138.675287015078,3.53407983495474,1.81402237448851,0.309047576477051,1.41100988398918,1.25560010867623
KENTUCKY,21135,509,139.038608153057,3.83488392470215,1.92454826826858,0.390534303439983,1.51980135299358,1.0203368550117
KENTUCKY,21137,658,138.634413415301,3.52299594039418,1.81377218944181,0.269637871647706,1.43958587930466,1.31396735682446
KENTUCKY,21139,169.0714286,138.352377096596,3.26141318525694,1.60785785904427,0.164835216083744,1.48872011012894,1.48003327305934
KENTUCKY,21141,169.0714286,138.066545418839,3.31959566515489,1.64408669667667,0.149107904064695,1.52640106441352,1.59564575310483
KENTUCKY,21143,169.0714286,138.234439636702,3.31436074452974,1.60418222918422,0.168927841181463,1.54125067416405,1.54765746839083
KENTUCKY,21147,169.0714286,138.475057783074,3.27194796728862,1.75211919565434,0.227448568010493,1.29238020362379,1.51461772016549
KENTUCKY,21151,735,138.726241034516,3.58927471262363,1.83511319613773,0.298802362333691,1.45535915415221,1.24418322514657
KENTUCKY,21155,773,138.500132502255,3.49888431665039,1.75013519942472,0.226334573315558,1.52241454391011,1.38534882232592
KENTUCKY,21157,58,138.050784602198,3.21059242834823,1.58204588779161,0.157528405169973,1.47101813538665,1.50717797327418
KENTUCKY,21161,1036,139.147108247616,3.84056947445038,1.93642127867948,0.374629956360405,1.52951823941049,1.04441292480781
KENTUCKY,21163,315,138.760028582763,3.52306491777847,1.76575583627197,0.229169384359611,1.52813969714689,1.31454495765621
KENTUCKY,21165,169.0714286,138.781775329742,3.65220345908536,1.85322720859947,0.339216015197334,1.45976023528856,1.16109371406027
KENTUCKY,21167,222,138.689762901654,3.59024583968629,1.80697337452493,0.264573584390243,1.51869888077112,1.29614495596719
KENTUCKY,21169,122,138.175019949004,3.34098162775613,1.67949297955781,0.184596917800033,1.4768917303983,1.52906569881616
KENTUCKY,21171,2923,138.046210774403,3.26302380601852,1.65224812286305,0.168701919332154,1.44207376382332,1.59490875348819
KENTUCKY,21173,718,138.846873802493,3.68600011143775,1.8690882415575,0.334267628350609,1.48264424152964,1.15485339588895
KENTUCKY,21175,169.0714286,138.766025421172,3.64941062200949,1.85069419386608,0.350702291105883,1.44801413703753,1.14572999522179
KENTUCKY,21177,169.0714286,138.367531592739,3.39683830288633,1.67240638664865,0.158979934977863,1.56545198125982,1.53767073644085
KENTUCKY,21179,2428,138.686970152926,3.5672706491133,1.77885492752375,0.231522153422975,1.55689356816657,1.34662395355842
KENTUCKY,21181,169.0714286,139.018894596066,3.77126470706696,1.90719602643844,0.349415410169994,1.51465327045853,1.10286857789183
KENTUCKY,21183,141,138.437402923556,3.41306919331638,1.70421044874085,0.194308054671985,1.51455068990355,1.393383821249
KENTUCKY,21185,47,139.078475768385,3.67836632808141,1.83744653380944,0.281976073973757,1.5589437202982,1.22981444137911
KENTUCKY,21187,585,139.182736107456,3.76243284036437,1.88889790683668,0.304208835218072,1.56932609830962,1.18063616588066
KENTUCKY,21189,169.0714286,138.639226256496,3.47177622039915,1.79617267769802,0.29689963411652,1.3787039085846,1.30338955646263
KENTUCKY,21191,169.0714286,139.206699838347,3.8128152943978,1.91033569035154,0.336812537284906,1.56566706676136,1.11982133909325
KENTUCKY,21195,169.0714286,138.764629294766,3.51199701989154,1.83035047959437,0.341076957574149,1.34056958272302,1.21083981661645
KENTUCKY,21199,530,138.52261857142,3.39992324170378,1.77645229945437,0.248890757668449,1.37458018458096,1.40564531727682
KENTUCKY,21201,169.0714286,139.138112357891,3.81769809464153,1.92980865724615,0.359507371548186,1.52838206584719,1.07402933322838
KENTUCKY,21203,168,138.604057950716,3.47422184913292,1.79692904707264,0.273638720919808,1.40365408114047,1.33289751406329
KENTUCKY,21205,314,138.873213926597,3.73441588939903,1.8828913457362,0.364525453613065,1.48699909004977,1.0926740463836
KENTUCKY,21207,169.0714286,138.45549252262,3.39852378044605,1.77629665325858,0.230434968748999,1.39179215843847,1.43053198115182
KENTUCKY,21209,232,138.958118845669,3.7147208399024,1.86237703413722,0.303245307257823,1.54909849850736,1.19651293069466
KENTUCKY,21211,1753,139.021434320653,3.69008549268948,1.85377907866929,0.271573366767107,1.56473304725308,1.24692819440239
KENTUCKY,21215,169.0714286,138.835638835524,3.62415287875651,1.80671274216289,0.249061472986883,1.56837866360674,1.30230667109742
KENTUCKY,21217,188,138.397010310853,3.44653125456461,1.72858982832537,0.214850585671077,1.50309084056816,1.42483137393489
KENTUCKY,21219,333,138.074530668915,3.31282836143768,1.63511971583,0.146299458088338,1.53140918751934,1.58466542788665
KENTUCKY,21221,169.0714286,138.007464242217,3.28687588215409,1.59144387311432,0.165075407737162,1.5303566013026,1.57788906994715
KENTUCKY,21223,85,139.244638698205,3.72209866331595,1.86275971497009,0.296143707144998,1.56319524120086,1.19806826781075
KENTUCKY,21225,236,138.825536796944,3.42730116015727,1.66818189575853,0.186635630332485,1.57248363406625,1.48032698539143
KENTUCKY,21227,144,138.012547778108,3.30967813094298,1.66249835240218,0.18634477019086,1.46083500834993,1.46454210529577
KENTUCKY,21229,270,138.682634065761,3.57778037212864,1.80145504046961,0.249329341700945,1.52699598995809,1.32038225084396
KENTUCKY,21231,159,138.433800341871,3.31870223561211,1.75783945821353,0.224475572128672,1.33638720526991,1.48643000617354
KENTUCKY,21233,138,138.633867716103,3.42588441348133,1.66670871154815,0.187026133759847,1.57214956817334,1.49320444961421
KENTUCKY,21235,113,138.530791687823,3.25837692731252,1.75350008411512,0.236103296713689,1.26877354648371,1.5143177479133
KENTUCKY,21239,169.0714286,138.81794683467,3.65173352335315,1.83364477839172,0.282788539929434,1.53530020503199,1.24712495493441
MAINE,23001,828,138.929987709873,5.43013938901734,3.6480008426499,2.91100659584251e-08,1.78213851725737,0.0659103668346453
MAINE,23003,607.7142857,135.942567382936,5.44313381704893,3.66187680903528,2.91334906006006e-08,1.78125697888016,0.0719193796933766
MAINE,23005,607.7142857,139.282998369419,5.42829413309928,3.64612895262116,2.90999757166188e-08,1.78216515137815,0.0649316565662564
MAINE,23015,607.7142857,138.537579332883,5.42714603496364,3.64506032981434,2.90924690845398e-08,1.78208567605683,0.0640739355982988
MAINE,23017,607.7142857,139.058267303417,5.43620447874031,3.65438529334533,2.91278200212009e-08,1.78181915626716,0.0688195396565008
MAINE,23019,1464,136.984967593358,5.43336503459738,3.65138708821522,2.9122381683196e-08,1.78197791725977,0.0674216076560813
MAINE,23023,607.7142857,138.824555376313,5.42739893460393,3.6452850593783,2.90942188012243e-08,1.78211384613142,0.0642911171660001
MAINE,23025,607.7142857,137.72749681915,5.44121911874475,3.6598127280635,2.91335321642876e-08,1.78140636154771,0.0710051578510451
MAINE,23029,607.7142857,136.521574575605,5.42798779146746,3.64592778468013,2.91002658344863e-08,1.78205997768706,0.0644184139385214
MARYLAND,24001,47.72727273,141.077085254718,4.92225880847254,2.80421477972531,0.414609131277454,1.70343489746977,0.33326297403844
MARYLAND,24003,47.72727273,142.26042408486,5.44497229567254,3.43277046026483,0.172190440798867,1.84001139460884,0.191734458017202
MARYLAND,24005,270,142.782011725963,5.49508331176797,3.52085295483602,0.153632496101957,1.82059786082999,0.156572470907118
MARYLAND,24009,47.72727273,141.75685305362,5.41393134341738,3.4048544296295,0.182927580469082,1.8261493333188,0.211570830111893
MARYLAND,24011,47.72727273,142.346017010814,5.50270278572082,3.5587538188222,0.134437185832358,1.80951178106625,0.147274810500062
MARYLAND,24013,266,142.633045132476,5.4162488689707,3.37868905950583,0.188913896140693,1.84864591332418,0.198269886399969
MARYLAND,24015,47.72727273,143.136564598529,5.76708271896253,3.96145085020947,0.0967870607646495,1.70884480798841,0.0829295922026958
MARYLAND,24017,47.72727273,141.520245332944,5.35794195813721,3.30096660755566,0.210561135589729,1.84641421499182,0.262759786545321
MARYLAND,24019,47.72727273,141.811204977545,5.45742890292247,3.48615601246125,0.153639622030862,1.81763326843036,0.184963620729576
