state_name,state,fips,fed_cattle,lat,lon,region,contract_share
ILLINOIS,17,17033,205,39.003033,-87.75647,8,0.409
ILLINOIS,17,17035,2023,39.274323,-88.240166,8,0.409
ILLINOIS,17,17037,14034,41.893578,-88.769974,8,0.409
ILLINOIS,17,17039,204,40.174004,-88.902138,8,0.409
ILLINOIS,17,17041,76,39.767895,-88.214447,8,0.409
ILLINOIS,17,17045,1141,39.678417,-87.744659,8,0.409
ILLINOIS,17,17047,255,38.415527,-88.058365,8,0.409
ILLINOIS,17,17049,15372,39.059612,-88.589737,8,0.409
ILLINOIS,17,17051,5822,39.000954,-89.023384,8,0.409
ILLINOIS,17,17053,3679,40.597092,-88.223488,8,0.409
ILLINOIS,17,17055,444,37.993057,-88.929535,8,0.409
ILLINOIS,17,17057,5125,40.472786,-90.208542,8,0.409
ILLINOIS,17,17059,1303.090909,37.759071,-88.227905,8,0.409
ILLINOIS,17,17061,668,39.357609,-90.391815,8,0.409
ILLINOIS,17,17063,50,41.28537,-88.418915,8,0.409
ILLINOIS,17,17065,328,38.081547,-88.538826,8,0.409
ILLINOIS,17,17067,5382,40.404087,-91.164368,8,0.409
ILLINOIS,17,17071,2189,40.818592,-90.924438,8,0.409
ILLINOIS,17,17073,15100,41.35339,-90.13176,8,0.409
ILLINOIS,17,17075,13462,40.747143,-87.824768,8,0.409
ILLINOIS,17,17077,628,37.785572,-89.378181,8,0.409
ILLINOIS,17,17079,2408,39.010544,-88.154373,8,0.409
ILLINOIS,17,17081,1333,38.299728,-88.924095,8,0.409
ILLINOIS,17,17083,1256,39.090874,-90.352654,8,0.409
ILLINOIS,17,17085,9593,42.365227,-90.211792,8,0.409
ILLINOIS,17,17087,131,37.462482,-88.878853,8,0.409
ILLINOIS,17,17089,1303.090909,41.938953,-88.428749,8,0.409
ILLINOIS,17,17091,103,41.137497,-87.861809,8,0.409
ILLINOIS,17,17093,1303.090909,41.590919,-88.42878,8,0.409
ILLINOIS,17,17095,6121,40.93161,-90.213242,8,0.409
ILLINOIS,17,17099,8987,41.344345,-88.886284,8,0.409
ILLINOIS,17,17103,1599,41.744781,-89.298325,8,0.409
ILLINOIS,17,17105,1713,40.891842,-88.557838,8,0.409
ILLINOIS,17,17107,159,40.123116,-89.37075,8,0.409
ILLINOIS,17,17109,851,40.456734,-90.677742,8,0.409
ILLINOIS,17,17111,1519,42.324333,-88.452744,8,0.409
ILLINOIS,17,17113,4716,40.492905,-88.851234,8,0.409
ILLINOIS,17,17115,483,39.860668,-88.963478,8,0.409
ILLINOIS,17,17117,7575,39.261055,-89.924438,8,0.409
ILLINOIS,17,17119,430,38.829857,-89.904854,8,0.409
ILLINOIS,17,17121,1027,38.649635,-88.918991,8,0.409
ILLINOIS,17,17123,275,41.032318,-89.344574,8,0.409
ILLINOIS,17,17125,1303.090909,40.238155,-89.922302,8,0.409
ILLINOIS,17,17127,470,37.221111,-88.708145,8,0.409
ILLINOIS,17,17129,480,40.029125,-89.805389,8,0.409
ILLINOIS,17,17131,561,41.206829,-90.743645,8,0.409
ILLINOIS,17,17133,897,38.275372,-90.178223,8,0.409
ILLINOIS,17,17135,713,39.232002,-89.478333,8,0.409
ILLINOIS,17,17137,497,39.717098,-90.203812,8,0.409
ILLINOIS,17,17139,128,39.641876,-88.621002,8,0.409
ILLINOIS,17,17141,20536,42.041233,-89.322319,8,0.409
ILLINOIS,17,17143,1303.090909,40.785374,-89.761238,8,0.409
ILLINOIS,17,17145,187,38.08567,-89.372932,8,0.409
ILLINOIS,17,17147,126,40.009659,-88.58976,8,0.409
ILLINOIS,17,17149,154,39.619946,-90.890549,8,0.409
ILLINOIS,17,17151,1303.090909,37.413349,-88.561562,8,0.409
ILLINOIS,17,17153,570,37.230701,-89.129578,8,0.409
ILLINOIS,17,17155,47,41.201355,-89.286926,8,0.409
ILLINOIS,17,17157,1944,38.051201,-89.827179,8,0.409
ILLINOIS,17,17159,374,38.714085,-88.078949,8,0.409
ILLINOIS,17,17161,295,41.467155,-90.574577,8,0.409
ILLINOIS,17,17163,2764,38.470093,-89.930511,8,0.409
ILLINOIS,17,17165,923,37.753246,-88.54097,8,0.409
ILLINOIS,17,17167,1119,39.756649,-89.661331,8,0.409
ILLINOIS,17,17169,1303.090909,40.157352,-90.617188,8,0.409
ILLINOIS,17,17171,1303.090909,39.642521,-90.477051,8,0.409
ILLINOIS,17,17173,6960,39.391182,-88.806252,8,0.409
ILLINOIS,17,17175,65,41.092697,-89.797142,8,0.409
ILLINOIS,17,17177,12003,42.351639,-89.662529,8,0.409
ILLINOIS,17,17179,786,40.507538,-89.512428,8,0.409
ILLINOIS,17,17181,92,37.47263,-89.257065,8,0.409
ILLINOIS,17,17183,2967,40.18528,-87.732605,8,0.409
ILLINOIS,17,17187,5522,40.849251,-90.614738,8,0.409
ILLINOIS,17,17189,1751,38.352833,-89.409866,8,0.409
ILLINOIS,17,17191,460,38.429554,-88.425865,8,0.409
ILLINOIS,17,17193,150,38.086552,-88.17804,8,0.409
ILLINOIS,17,17195,17930,41.75491,-89.91539,8,0.409
ILLINOIS,17,17197,1303.090909,41.444931,-87.9785,8,0.409
ILLINOIS,17,17199,1303.090909,37.730171,-88.929863,8,0.409
ILLINOIS,17,17201,5453,42.336357,-89.160919,8,0.409
ILLINOIS,17,17203,1712,40.792274,-89.214867,8,0.409
INDIANA,18,18001,5808,40.745701,-84.936768,8,0.409
INDIANA,18,18003,2231,41.091805,-85.068207,8,0.409
INDIANA,18,18005,253,39.207581,-85.895729,8,0.409
INDIANA,18,18007,726.5384615,40.606327,-87.310799,8,0.409
INDIANA,18,18009,726.5384615,40.473629,-85.324783,8,0.409
INDIANA,18,18011,1093,40.050884,-86.468369,8,0.409
INDIANA,18,18015,3400,40.580811,-86.561813,8,0.409
INDIANA,18,18017,967,40.761345,-86.348297,8,0.409
INDIANA,18,18019,160,38.479736,-85.707764,8,0.409
INDIANA,18,18021,66,39.395535,-87.117233,8,0.409
INDIANA,18,18023,352,40.301304,-86.475616,8,0.409
INDIANA,18,18025,325,38.287407,-86.451111,8,0.409
